"DATAPGTO","DIASEMANAPGTO","DOCUMENTOFORNECEDOR","DOCUMENTOSERVIDOR","LATITUDE","LONGITUDE","MANDATO","MUNICIPIO","NOMEFORNECEDOR","PORTE","SUBELEMENTODESPESA","TIPODOCUMENTO","UF","VALOR"
"2019-01-04","sexta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","303.78"
"2019-01-04","sexta-feira","17871449001957","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","SHOPPING DOS COSMETICOS","EMPRESA DE PEQUENO PORTE","MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO","CNPJ","DF","63.7"
"2019-01-04","sexta-feira","12137325000108","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","VEDA PESCADOS","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","3749.99"
"2019-01-04","sexta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","42.02"
"2019-01-04","sexta-feira","01610583000135","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","DISTRIBUIDORA DE CARNE MORRO BRANCO","MICRO EMPRESA","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","614.88"
"2019-01-04","sexta-feira","06164277000136","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","ARMAZEM DO GERALDO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","83.96"
"2019-01-04","sexta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","232.64"
"2019-01-04","sexta-feira","61412110090804","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","DROGARIAS PACHECO","DEMAIS","MATERIAL FARMACOLOGICO","CNPJ","DF","104.97"
"2019-01-04","sexta-feira","61412110090804","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","DROGARIAS PACHECO","DEMAIS","MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO","CNPJ","DF","602.3"
"2019-01-04","sexta-feira","18468079000145","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","PET SHOP ARMAZEM RURAL E DO GATO","MICRO EMPRESA","MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO","CNPJ","DF","81.0"
"2019-01-04","sexta-feira","21503034000179","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","CASA DAS ARARAS","MICRO EMPRESA","MATERIAL DE CAMA,MESA E BANHO","CNPJ","DF","3200.0"
"2019-01-04","sexta-feira","00613144000113","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","FELIX INFORMATICA","EMPRESA DE PEQUENO PORTE","MATERIAL ELETRICO E ELETRONICO","CNPJ","DF","164.85"
"2019-01-04","sexta-feira","26443804000230","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","SO REPAROS","DEMAIS","MATERIAL DE EXPEDIENTE","CNPJ","DF","466.04"
"2019-01-02","quarta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1367.21"
"2019-01-02","quarta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","264.44"
"2019-01-02","quarta-feira","00672600000104","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MERCADINHO LA PALMA LTDA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","769.93"
"2019-01-02","quarta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1455.94"
"2019-01-03","quinta-feira","00672600000104","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MERCADINHO LA PALMA LTDA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1167.29"
"2019-01-03","quinta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","2219.05"
"2019-01-03","quinta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1246.72"
"2019-01-28","segunda-feira","45543915020379","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","CARREFOUR COMERCIO E INDUSTRIA LTDA","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","119.5"
"2019-01-28","segunda-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","394.6"
"2019-01-28","segunda-feira","16963990000101","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","F&C SERVICOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","75.99"
"2019-01-28","segunda-feira","00672600000104","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MERCADINHO LA PALMA LTDA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","837.59"
"2019-01-28","segunda-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1609.34"
"2019-01-28","segunda-feira","45543915020379","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","CARREFOUR COMERCIO E INDUSTRIA LTDA","DEMAIS","MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO","CNPJ","DF","83.45"
"2019-01-28","segunda-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO","CNPJ","DF","225.83"
"2019-01-25","sexta-feira","03953506000103","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BELINI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","165.11"
"2019-01-25","sexta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","386.01"
"2019-01-25","sexta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","408.03"
"2019-01-25","sexta-feira","27501464000138","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","VIANDE BOUTIQUE DE CARNES","MICRO EMPRESA","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","368.14"
"2019-01-25","sexta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","31.8"
"2019-01-25","sexta-feira","00672600000104","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MERCADINHO LA PALMA LTDA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","101.01"
"2019-01-25","sexta-feira","12137325000108","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","VEDA PESCADOS","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1369.69"
"2019-01-24","quinta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","373.57"
"2019-01-24","quinta-feira","06164277000136","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","ARMAZEM DO GERALDO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","47.7"
"2019-01-24","quinta-feira","00672600000104","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MERCADINHO LA PALMA LTDA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","369.64"
"2019-01-24","quinta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","74.85"
"2019-01-24","quinta-feira","07167236000166","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","A NOSSA PAPELARIA","MICRO EMPRESA","MATERIAL DE COPA E COZINHA","CNPJ","DF","3.9"
"2019-01-24","quinta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO","CNPJ","DF","159.9"
"2019-01-24","quinta-feira","05778694000106","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","PLASTIBRA EMBALAGENS FLEXIVEIS LTDA","MICRO EMPRESA","MATERIAL DE ACONDICIONAMENTO E EMBALAGEM","CNPJ","DF","42.0"
"2019-01-26","sábado","16963990000101","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","F&C SERVICOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","45.97"
"2019-01-26","sábado","00938877000128","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","SABORELLA SORVETES FINOS LTDA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","120.0"
"2019-01-26","sábado","18750168000180","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MARZUK","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","474.0"
"2019-01-26","sábado","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","247.88"
"2019-01-26","sábado","00672600000104","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MERCADINHO LA PALMA LTDA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","615.93"
"2019-01-26","sábado","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","590.76"
"2019-01-23","quarta-feira","01610583000135","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","DISTRIBUIDORA DE CARNE MORRO BRANCO","MICRO EMPRESA","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","351.54"
"2019-01-23","quarta-feira","11072862000146","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","PONTO DO QUEIJO","MICRO EMPRESA","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","300.0"
"2019-01-23","quarta-feira","38030169000167","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","OBA HORTIFRUTI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","228.99"
"2019-01-23","quarta-feira","38030169000167","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","OBA HORTIFRUTI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","254.49"
"2019-01-23","quarta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","271.72"
"2019-01-23","quarta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","882.48"
"2019-01-22","terça-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","723.02"
"2019-01-22","terça-feira","04940750000870","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","PERBONI BRASIL","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1863.5"
"2019-01-22","terça-feira","38030169000167","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","OBA HORTIFRUTI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1198.11"
"2019-01-22","terça-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","384.73"
"2019-01-22","terça-feira","00436042009983","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","POLISHOP","DEMAIS","APARELHOS E UTENSÍLIOS DOMÉSTICOS","CNPJ","DF","499.9"
"2019-01-21","segunda-feira","24552469000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MAXFOODS MARKET","MICRO EMPRESA","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","69.9"
"2019-01-21","segunda-feira","01325751000140","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","CASA DE DOCES E QUEIJOS BRASILIA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","394.28"
"2019-01-21","segunda-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","398.99"
"2019-01-21","segunda-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","190.0"
"2019-01-19","sábado","38030169000167","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","OBA HORTIFRUTI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","361.29"
"2019-01-19","sábado","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","132.18"
"2019-01-19","sábado","05149599000224","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","FRUTOS DA TERRA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","155.65"
"2019-01-19","sábado","12137325000108","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","VEDA PESCADOS","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","188.02"
"2019-01-19","sábado","18844775000109","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MIKAMI PRODUTOS JAPONESES","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","323.9"
"2019-01-19","sábado","18844775000109","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","MIKAMI PRODUTOS JAPONESES","EMPRESA DE PEQUENO PORTE","MATERIAL DE COPA E COZINHA","CNPJ","DF","39.95"
"2019-01-18","sexta-feira","38030169000167","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","OBA HORTIFRUTI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","455.84"
"2019-01-18","sexta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","53.97"
"2019-01-18","sexta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","331.15"
"2019-01-18","sexta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","1473.14"
"2019-01-18","sexta-feira","03953506000103","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BELINI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","195.31"
"2019-01-18","sexta-feira","01325751000140","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","CASA DE DOCES E QUEIJOS BRASILIA","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","130.95"
"2019-01-18","sexta-feira","03953506000103","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BELINI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","108.0"
"2019-01-18","sexta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","54.83"
"2019-01-18","sexta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","431.0"
"2019-01-17","quinta-feira","47508411094975","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","COMPANHIA BRASILEIRA DE DISTRIBUICAO","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","787.5"
"2019-01-17","quinta-feira","38030169000167","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","OBA HORTIFRUTI","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","520.65"
"2019-01-17","quinta-feira","03696869000100","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","BIG BOX SUPERMERCADOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","458.42"
"2019-01-17","quinta-feira","16963990000101","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","F&C SERVICOS","DEMAIS","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","151.96"
"2019-01-17","quinta-feira","12137325000108","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","VEDA PESCADOS","EMPRESA DE PEQUENO PORTE","GENEROS DE ALIMENTAÇÃO","CNPJ","DF","2206.06"
"2019-01-17","quinta-feira","06245627000199","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","SACOBRAS EMBALAGENS","EMPRESA DE PEQUENO PORTE","MATERIAL DE PROTEÇÃO E SEGURANÇA","CNPJ","DF","18.0"
"2019-01-17","quinta-feira","13054097000167","***.135.521-**","-47.887905478","-15.7940873619","BOLSONARO","Brasília","REI DAS EMBALAGENS","EMPRESA DE PEQUENO PORTE","MATERIAL DE ACONDICIONAMENTO E EMBALAGEM","CNPJ","DF","378.0"
